"","","","","","",""
"Ride ID","City","Rider ID","Ride Time","Ride Fare","Ride Date","Ride Hour"
"1","New York","100","15","10","1/1/2022","9"
"2","San Francisco","101","30","25","1/1/2022","10"
"3","Los Angeles","102","45","30","1/1/2022","11"
"4","New York","103","20","15","1/1/2022","12"
"5","San Francisco","104","10","7","1/2/2022","9"
"6","Los Angeles","105","25","20","1/2/2022","10"
"7","New York","106","30","25","1/2/2022","11"
"8","San Francisco","107","15","10","1/2/2022","12"
"9","Los Angeles","108","50","","1/3/2022","9"
"10","New York","109","","20","1/3/2022","10"
"11","San Francisco","110","40","30","1/3/2022","11"
"12","Los Angeles","111","20","15","","12"
"13","New York","112","35","25","1/4/2022","9"
"14","San Francisco","113","15","10","1/4/2022","10"
"15","Los Angeles","114","","","1/4/2022","11"
"16","New York","115","25","20","1/4/2022",""
"17","San Francisco","116","30","25","1/5/2022","9"
"18","Los Angeles","117","20","15","1/5/2022","10"
"19","New York","118","10","","1/5/2022","11"
"20","San Francisco","119","","10","1/5/2022","12"
"21","Los Angeles","120","40","30","1/6/2022","9"
"22","New York","121","35","25","1/6/2022","10"
"23","San Francisco","122","","15","202",""
